PFAM_ID,DUF_ID,DUF_Name,Name of the DUF,Species,SCOPe Superfamily,SCOPe Family,Pathway,Chain ID ,PDB_ID
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Bacteroides vulgatus,c.23.10(110-325),,Electron Transport Chain,A,6xpm
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Croceicoccus marinus,c.23.10(110-325),,Electron Transport Chain,A,7c23
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Croceicoccus marinus,c.23.10(110-325),,Electron Transport Chain,B,7c23
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Croceicoccus marinus,c.23.10(110-325),,Electron Transport Chain,A,7c29
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Croceicoccus marinus,c.23.10(110-325),,Electron Transport Chain,B,7c29
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Desulfitobacterium hafniense,c.23.10(110-325),,Electron Transport Chain,A,4rsh
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Desulfitobacterium hafniense,c.23.10(110-325),,Electron Transport Chain,B,4rsh
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Desulfitobacterium hafniense,c.23.10(110-325),,Electron Transport Chain,C,4rsh
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,3w7v
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,3w7v
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4jhl
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4jhl
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4jj4
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4jj4
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4jj6
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4jj6
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4jko
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4jko
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4oao
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4oao
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,4oap
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,4oap
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,A,5bn1
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Geobacillus stearothermophilus,c.23.10(110-325),,Electron Transport Chain,B,5bn1
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides distasonis,c.23.10(110-325),,Electron Transport Chain,A,3p94
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides distasonis,c.23.10(110-325),,Electron Transport Chain,B,3p94
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides distasonis,c.23.10(110-325),,Electron Transport Chain,C,3p94
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides distasonis,c.23.10(110-325),,Electron Transport Chain,D,3p94
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides merdae,c.23.10(110-325),,Electron Transport Chain,A,4q9a
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Parabacteroides merdae,c.23.10(110-325),,Electron Transport Chain,B,4q9a
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Pseudoalteromonas sp.,c.23.10(110-325),,Electron Transport Chain,A,3hp4
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Pseudomonas aeruginosa, PA01",c.23.10(110-325),,Electron Transport Chain,A,4jgg
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],"Pseudomonas aeruginosa, PA01",c.23.10(110-325),,Electron Transport Chain,B,4jgg
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,A,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,B,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,C,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,D,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,E,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,F,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,G,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Uncultured bacterium ,c.23.10(110-325),,Electron Transport Chain,H,5jd3
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Veillonella parvula ,c.23.10(110-325),,Electron Transport Chain,A,4rw0
PF04311,DUF459,Protein of unknown function (DUF459),(1) Flavodoxin-like [c.23],Veillonella parvula ,c.23.10(110-325),,Electron Transport Chain,B,4rw0
PF04862,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Achromobacter sp,a.25.1(10-227),,Electron Transport Chain,A,5zur
PF04862,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Achromobacter sp,a.25.1(10-227),,Electron Transport Chain,B,5zur
PF04862,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Achromobacter sp,a.25.1(10-227),,Electron Transport Chain,C,5zur
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,A,6ebo
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,B,6ebo
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,C,6ebo
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,D,6ebo
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,A,6ebp
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,B,6ebp
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,C,6ebp
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,D,6ebp
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,A,6ebz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,B,6ebz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,C,6ebz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Aerococcus urinae,a.25.1(10-227),,Electron Transport Chain,D,6ebz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6qo5
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6qo5
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6qo9
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6qo9
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6qob
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6qob
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6tqx
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6tqx
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6tqy
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6tqy
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,A,6tqz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Anthrax bacillus (Bacillus anthracis),a.25.1(10-227),,Electron Transport Chain,B,6tqz
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,B,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,C,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,D,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,E,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,F,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,G,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,H,1s3q
,DUF455,Protein of unknown function (DUF455),(1) Ferritin-like [a.25],Archaeoglobus fulgidus,a.25.1(10-227),,Electron Transport Chain,I,1s3q
